Scope,User,HivePath,KeyPath,LastKeyWrite,ValueName,Command,ResolvedPath,HashInfo,CertInfo
HKCU,Administrator,C:\Users\Administrator\NTUSER.DAT,Software\Microsoft\Windows\CurrentVersion\Run,2026-04-10T13:04:31Z,TestRunKey,notepad.exe,notepad.exe,,
HKCU,Default,C:\Users\Default\NTUSER.DAT,Software\Microsoft\Windows\CurrentVersion\Run,2019-03-19T21:54:41Z,OneDriveSetup,C:\Windows\SysWOW64\OneDriveSetup.exe /thfirstsetup,C:\Windows\SysWOW64\OneDriveSetup.exe,"{""MD5"":""5227633dd8fa0f4b4845b360906ac9bc"",""SHA1"":""96152df3b9c594fe0939e478a48fe211f2f1a39b"",""SHA256"":""a4cd491248830ad4986acc6f0217407cbcc278f0a9396c3566da8db93f54009d""}","{""Filename"":""C:\\Windows\\SysWOW64\\OneDriveSetup.exe"",""ProgramName"":""Microsoft OneDrive"",""PublisherLink"":null,""MoreInfoLink"":""https://onedrive.live.com/about/en-us/"",""SerialNumber"":""33000001b24a37c6c97e0168860001000001b2"",""IssuerName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Code Signing PCA"",""SubjectName"":""C=US, ST=Washington, L=Redmond, O=Microsoft Corporation, CN=Microsoft Corporation"",""Timestamp"":null,""Trusted"":""Unknown (No API access)"",""_ExtraInfo"":null}"
HKCU,IEUser,C:\Users\IEUser\NTUSER.DAT,Software\Microsoft\Windows\CurrentVersion\Run,2019-03-19T13:05:06Z,OneDrive,"""C:\Users\IEUser\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background",C:\Users\IEUser\AppData\Local\Microsoft\OneDrive\OneDrive.exe,"{""MD5"":""d141d49ce7912b6aa91a12160874b35d"",""SHA1"":""94e95fbe9a9b545695b4d99eddd54046b99b8df1"",""SHA256"":""ae0739b06a3dcdd5ffcce66b1d94ed138834120b117297060655de3798b57b0c""}",
HKCU,nori,C:\Users\nori\NTUSER.DAT,Software\Microsoft\Windows\CurrentVersion\Run,2025-11-05T00:30:44Z,OneDrive,"""C:\Users\nori\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background",C:\Users\nori\AppData\Local\Microsoft\OneDrive\OneDrive.exe,"{""MD5"":""d141d49ce7912b6aa91a12160874b35d"",""SHA1"":""94e95fbe9a9b545695b4d99eddd54046b99b8df1"",""SHA256"":""ae0739b06a3dcdd5ffcce66b1d94ed138834120b117297060655de3798b57b0c""}",
